UF,Municipio,Profissao,Quantidade,PctFeminino,MediaIdade,MediaRendTotal,MediaRendTrib,MediaPatrimonio
ES,AFONSO CLAUDIO,,593,0.5868465430016864,63.05059021922428,102195.92112984823,58648.036306914,200424.40640809442
ES,AFONSO CLAUDIO,Advogado,30,0.5666666666666667,38.166666666666664,208098.95266666668,45959.66633333334,342364.798
ES,AFONSO CLAUDIO,"Analista de sistemas, desenvolvedor de software, administrador de redes e bancos de dados e outros especialistas em informática (exceto técnico)",10,0.3,29.5,79330.204,56876.563,12229.368
ES,AFONSO CLAUDIO,Assistente social e economista doméstico,20,1,44,63132.3165,53451.7125,28405.336
ES,AFONSO CLAUDIO,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",99,0.5959595959595959,40.101010101010104,122045.64454545455,76407.31575757577,174841.28959595962
ES,AFONSO CLAUDIO,"Delegado de Polícia e outros servidores das carreiras de polícia, exceto militar",11,0.18181818181818182,51.18181818181818,197360.8781818182,153845.86909090908,180673.07272727272
ES,AFONSO CLAUDIO,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias",10,0.4,42.1,112543.34199999999,78796.504,323311.99199999997
ES,AFONSO CLAUDIO,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",255,0.3568627450980392,47.858823529411765,230837.16152941182,51732.08976470589,657134.5839215686
ES,AFONSO CLAUDIO,"Economista, administrador, contador, auditor e afins",25,0.48,43.88,124612.31559999999,71297.60919999999,187476.6112
ES,AFONSO CLAUDIO,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",62,0.6774193548387096,39.12903225806452,87673.66274193548,76937.2070967742,117822.48612903227
ES,AFONSO CLAUDIO,"Engenheiro, arquiteto e afins",23,0.30434782608695654,36.56521739130435,195122.95739130434,138481.30434782608,646217.2947826086
ES,AFONSO CLAUDIO,Fisioterapeuta,10,0.8,32.1,73784.488,53566.422999999995,97734.171
ES,AFONSO CLAUDIO,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços",48,0.25,45.9375,206971.36145833333,71485.25749999999,1007981.1547916667
ES,AFONSO CLAUDIO,Médico,37,0.4864864864864865,41.54054054054054,313560.6089189189,102479.69135135134,819746.8118918919
ES,AFONSO CLAUDIO,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)",156,0.07692307692307693,47.35897435897436,88462.99743589744,52178.777179487195,112474.6532051282
ES,AFONSO CLAUDIO,Odontólogo,35,0.6,40.91428571428571,206308.90371428573,111889.46942857144,542612.8802857143
ES,AFONSO CLAUDIO,Operador de máquina agropecuária e florestal,12,0,38.416666666666664,47996.43083333334,42835.78,48975.97999999999
ES,AFONSO CLAUDIO,Outras ocupações não especificadas anteriormente,590,0.43389830508474575,44.77457627118644,78556.14271186439,48788.199237288136,119179.53176271185
ES,AFONSO CLAUDIO,Outros técnicos de nível médio,72,0.4861111111111111,42.94444444444444,77611.73819444446,61186.32416666668,68345.49555555556
ES,AFONSO CLAUDIO,Outros trabalhadores de serviços diversos,117,0.23076923076923078,45.675213675213676,73608.55179487179,43418.907008547016,90558.5494017094
ES,AFONSO CLAUDIO,"Pedagogo, orientador educacional",46,0.8913043478260869,49.869565217391305,116110.65934782609,99550.2204347826,68536.84999999999
ES,AFONSO CLAUDIO,Policial Militar,76,0.10526315789473684,38.328947368421055,140507.73973684208,115305.96881578946,38106.67868421053
ES,AFONSO CLAUDIO,Produtor na exploração agropecuária,169,0.1893491124260355,50.781065088757394,214686.27124260357,52553.17455621301,618975.6928402368
ES,AFONSO CLAUDIO,Professor do ensino fundamental,328,0.875,44.954268292682926,88090.63881097561,71157.53030487805,63128.662042682925
ES,AFONSO CLAUDIO,Professor do ensino médio,94,0.7340425531914894,41.87234042553192,109346.57170212768,80632.7105319149,82413.20436170213
ES,AFONSO CLAUDIO,Professor na educação infantil,101,0.9801980198019802,47.257425742574256,81339.60415841584,69436.4393069307,53765.81821782179
ES,AFONSO CLAUDIO,Psicólogo,17,0.8823529411764706,38.294117647058826,67855.89529411762,53656.8588235294,119298.04
ES,AFONSO CLAUDIO,Sacerdote ou membro de ordens ou seitas religiosas,22,0,44.04545454545455,106664.60318181818,96392.59681818182,137495.73863636365
ES,AFONSO CLAUDIO,"Servidor das carreiras do  Poder Judiciário, Oficial de Justiça, Auxiliar, Assistente e Analista Judiciário",11,0.5454545454545454,50.18181818181818,353255.12999999995,273894.0118181818,680028.7163636363
ES,AFONSO CLAUDIO,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional",40,0.45,47.55,118411.13075000001,88991.99575,273173.30374999996
ES,AFONSO CLAUDIO,Técnico da ciência da saúde humana,44,0.9772727272727273,38.84090909090909,53874.593181818185,47604.43772727272,26205.109772727275
